SN.,Roll No,Batch / Term Code,Course Code,Course,Credit,Grade,SPI,CPI
87,Student 3,Semester 2,HSS101*,Technology and Society,4,D,2.67,2.35
88,Student 3,Semester 2,CSE102,Data Structures and Algorithms,4,F,2.67,2.35
89,Student 3,Semester 1,COM101,Communication Skills,4,F,2.0,2.0
90,Student 3,Semester 2,CSE112,Computer Organisation,4,F,2.67,2.35
91,Student 3,Semester 1,CSE101,Introduction to Programming,4,F,2.0,2.0
92,Student 3,Semester 2,CSE122*,Theory of Computation,4,F,2.67,2.35
93,Student 3,Semester 1,CSE121,Discrete Mathematics,4,F,2.0,2.0
94,Student 4,Semester 4,ESC202,Digital Communication,4,F,2.8,3.5
95,Student 4,Semester 4,HSS202*,Perspectives on Knowledge,4,D,2.8,3.5
96,Student 4,Summer Term 1,CSE122*,Theory of Computation,4,D,4.0,4.0
97,Student 4,Semester 1,CSE101,Introduction to Programming,4,D,4.5,4.5
98,Student 4,Semester 4,CSE222,Analysis and Design of Algorithms,4,F,2.8,3.5
99,Student 4,Semester 1,CSE111,Digital Circuits,4,D,4.5,4.5
100,Student 4,Semester 3,CSE201,Advanced Programming,4,D,3.6,3.77
101,Student 4,Semester 3,COM201-1,Critical Reading,2,C,3.6,3.77
102,Student 4,Semester 4,CSE202,Fundamentals of Database Systems,4,D,2.8,3.5
103,Student 4,Semester 3,MTH201,Probability and Statistics ,4,F,3.6,3.77
104,Student 4,Semester 2,CSE122*,Theory of Computation,4,F,2.67,3.53
105,Student 4,Summer Term 1,CSE102,Data Structures and Algorithms,4,D,4.0,4.0
106,Student 4,Semester 2,CSE131-1*,System Management,2,D,2.67,3.53
107,Student 4,Semester 1,COM101,Communication Skills,4,C,4.5,4.5
108,Student 4,Semester 2,CSE112,Computer Organisation,4,F,2.67,3.53
109,Student 4,Semester 4,CSE232,Computer Networks,4,F,2.8,3.5
110,Student 4,Semester 3,CSE231,Operating Systems ,4,F,3.6,3.77
111,Student 4,Semester 2,CSE102,Data Structures and Algorithms,4,F,2.67,3.53
112,Student 4,Semester 3,ESC201,Transducer And Signal Conditioning,4,D,3.6,3.77
113,Student 4,Semester 2,HSS101*,Technology and Society,4,D,2.67,3.53
114,Student 4,Semester 1,CSE121,Discrete Mathematics,4,D,4.5,4.5
115,Student 5,Semester 5,CSE540*,Image Analysis,4,B,8.2,8.13
116,Student 5,Semester 4,ESC202,Digital Communication,4,B-,7.2,8.11
117,Student 5,Semester 7,CSE343,Machine Learning,4,B-,7.0,7.82
118,Student 5,Semester 2,CSE122*,Theory of Computation,4,A,8.67,8.12
119,Student 5,Semester 1,CSE111,Digital Circuits,4,B,7.5,7.5
120,Student 5,Semester 8,CSE499A,BTech Project,8,B,7.0,7.75
121,Student 5,Semester 3,ESC201,Transducer And Signal Conditioning,4,A-,9.11,8.46
122,Student 5,Semester 4,HSS201*,Research Methods,4,B,7.2,8.11
123,Student 5,Semester 6,MTH101,Linear Algebra and Advanced Calculus,4,B-,7.2,7.96
124,Student 5,Semester 3,MTH201,Probability and Statistics ,4,A-,9.11,8.46
125,Student 5,Semester 5,CSE345,Foundations of Computer Security,4,A-,8.2,8.13
126,Student 5,Semester 2,CSE131-1*,System Management,2,C,8.67,8.12
127,Student 5,Summer Term 3,MSC481,Self Growth,1,S,,
128,Student 5,Semester 5,CSE505,Information Integration and Data Analytics,4,A-,8.2,8.13
129,Student 5,Semester 7,PHY301,Physics,4,B-,7.0,7.82
130,Student 5,Semester 3,COM201-1,Critical Reading,2,B,9.11,8.46
131,Student 5,Semester 8,COM301,Technical Communication,4,C,7.0,7.75
132,Student 5,Semester 6,CSE537,Embedded Systems,4,B-,7.2,7.96
133,Student 5,Semester 1,CSE121,Discrete Mathematics,4,B,7.5,7.5
134,Student 5,Semester 3,CSE201,Advanced Programming,4,A,9.11,8.46
135,Student 5,Semester 1,CSE101,Introduction to Programming,4,B,7.5,7.5
136,Student 5,Semester 8,HSS206*,Introduction to Film Studies,4,C,7.0,7.75
137,Student 5,Semester 8,CSE606,Data Warehousing,4,B-,7.0,7.75
138,Student 5,Semester 2,HSS101*,Technology and Society,4,C,8.67,8.12
139,Student 5,Semester 4,CSE232,Computer Networks,4,B-,7.2,8.11
140,Student 5,Semester 3,CSE231,Operating Systems ,4,A-,9.11,8.46
141,Student 5,Semester 5,CSE300,Software Engineering ,4,B-,8.2,8.13
142,Student 5,Semester 7,CSE499A,BTech Project,8,B-,7.0,7.82
143,Student 5,Semester 4,CSE202,Fundamentals of Database Systems,4,B-,7.2,8.11
144,Student 5,Semester 7,CSE310,Digital Hardware Design,4,B-,7.0,7.82
145,Student 5,Semester 6,CSE549,Privacy Enhancing Technologies,4,A-,7.2,7.96
146,Student 5,Semester 1,COM101,Communication Skills,4,C,7.5,7.5
147,Student 5,Semester 2,CSE112,Computer Organisation,4,A,8.67,8.12
148,Student 5,Semester 5,CSE535,Mobile Computing,4,B,8.2,8.13
149,Student 5,Semester 2,CSE102,Data Structures and Algorithms,4,A,8.67,8.12
150,Student 5,Semester 6,CSE342*,Pattern Recognition,4,C,7.2,7.96
151,Student 5,Semester 6,CSE508,Information Retrieval,4,B-,7.2,7.96
152,Student 5,Semester 4,CSE222,Analysis and Design of Algorithms,4,B-,7.2,8.11
153,Student 6,Semester 6,FIN402,Valuation and Portfolio Management,4,B,9.0,8.41
154,Student 6,Semester 6,CSE546,Applied Cryptography,4,A,9.0,8.41
155,Student 6,Semester 8,CSE607,Financial Data Analytics,2,A,8.86,8.52
156,Student 6,Semester 5,CSE300,Software Engineering ,4,B-,8.17,8.29
157,Student 6,Semester 7,CSE694C,Privacy and Security in Online Social Media,2,A,9.0,8.48
158,Student 6,Semester 2,CSE112,Computer Organisation,4,B,8.89,8.47
159,Student 6,Semester 3,COM201-1,Critical Reading,2,B,8.44,8.46
160,Student 6,Semester 5,CSE345,Foundations of Computer Security,4,B,8.17,8.29
161,Student 6,Semester 2,HSS101*,Technology and Society,4,A,8.89,8.47
162,Student 6,Semester 5,FIN401,Foundations of Finance ,4,A-,8.17,8.29
163,Student 6,Semester 7,ENT401,Entrepreneurship as a Career,2,A,9.0,8.48
164,Student 6,Semester 3,ESC201,Transducer And Signal Conditioning,4,B,8.44,8.46
165,Student 6,Semester 5,CSE535,Mobile Computing,4,B,8.17,8.29
166,Student 6,Semester 1,COM101,Communication Skills,4,B,8.0,8.0
167,Student 6,Semester 4,CSE202,Fundamentals of Database Systems,4,B,8.0,8.33
168,Student 6,Semester 6,CSE508,Information Retrieval,4,A-,9.0,8.41
169,Student 6,Semester 7,CSE343,Machine Learning,4,A-,9.0,8.48
170,Student 6,Semester 2,CSE122*,Theory of Computation,4,A,8.89,8.47
171,Student 6,Semester 6,COM301,Technical Communication,4,B,9.0,8.41
172,Student 6,Semester 1,CSE111,Digital Circuits,4,B,8.0,8.0
173,Student 6,Semester 4,HSS201*,Research Methods,4,A-,8.0,8.33
174,Student 6,Semester 2,CSE131-1*,System Management,2,B,8.89,8.47
175,Student 6,Semester 3,CSE201,Advanced Programming,4,B-,8.44,8.46
176,Student 6,Semester 1,CSE121,Discrete Mathematics,4,B,8.0,8.0
177,Student 6,Semester 8,HSS204*,Introduction to Psychology,4,A-,8.86,8.52
178,Student 6,Semester 3,MTH201,Probability and Statistics ,4,A+,8.44,8.46
179,Student 6,Semester 5,CSE540*,Image Analysis,4,B,8.17,8.29
180,Student 6,Semester 4,CSE232,Computer Networks,4,B,8.0,8.33
181,Student 6,Semester 8,CSE606,Data Warehousing,4,B-,8.86,8.52
182,Student 6,Semester 8,ECO301,Introduction to Economic Analysis,4,A,8.86,8.52
183,Student 6,Semester 5,CSE505,Information Integration and Data Analytics,4,A-,8.17,8.29
184,Student 6,Semester 2,CSE102,Data Structures and Algorithms,4,B,8.89,8.47
185,Student 6,Semester 6,CSE342*,Pattern Recognition,4,A,9.0,8.41
186,Student 6,Semester 3,CSE231,Operating Systems ,4,A-,8.44,8.46
187,Student 6,Semester 7,CSE499,BTech Project,4,A-,9.0,8.48
188,Student 6,Semester 4,ESC202,Digital Communication,4,B-,8.0,8.33
189,Student 6,Semester 7,CSE398A-1,Independent Study,4,B,9.0,8.48
190,Student 6,Semester 4,CSE222,Analysis and Design of Algorithms,4,B,8.0,8.33
191,Student 6,Semester 1,CSE101,Introduction to Programming,4,B,8.0,8.0
192,Student 7,Semester 4,CSE222,Analysis and Design of Algorithms,4,B,6.8,7.42
193,Student 7,Semester 5,CSE540*,Image Analysis,4,A,8.75,7.66
194,Student 7,Semester 8,ENT402,Entrepreneurship: Managing a Venture,2,A,7.75,7.76
195,Student 7,Semester 2,CSE131-1*,System Management,2,C,6.0,6.47
196,Student 7,Semester 4,HSS202*,Perspectives on Knowledge,4,C,6.8,7.42
197,Student 7,Semester 5,CSE505,Information Integration and Data Analytics,4,A-,8.75,7.66
198,Student 7,Semester 3,COM201-1,Critical Reading,2,B-,9.0,7.65
199,Student 7,Semester 1,CSE111,Digital Circuits,4,B,7.0,7.0
200,Student 7,Semester 2,CSE122*,Theory of Computation,4,F,6.0,6.47
201,Student 7,Semester 6,CSE508,Information Retrieval,4,A-,7.6,7.65
202,Student 7,Semester 7,CSE343,Machine Learning,4,B-,8.4,7.77
203,Student 7,Semester 4,CSE202,Fundamentals of Database Systems,4,B,6.8,7.42
204,Student 7,Semester 3,CSE231,Operating Systems ,4,A-,9.0,7.65
205,Student 7,Semester 2,CSE102,Data Structures and Algorithms,4,C,6.0,6.47
206,Student 7,Semester 6,CSE390,Independent Study,4,A-,7.6,7.65
207,Student 7,Semester 1,COM101,Communication Skills,4,D,7.0,7.0
208,Student 7,Semester 7,FIN401,Foundations of Finance ,4,B-,8.4,7.77
209,Student 7,Semester 8,CSE607,Financial Data Analytics,2,B,7.75,7.76
210,Student 7,Semester 5,CSE330,Distributed Systems ,4,A,8.75,7.66
211,Student 7,Semester 1,CSE101,Introduction to Programming,4,C,7.0,7.0
212,Student 7,Semester 7,CSE691A,Application Development for Web2.0 Social Media Platforms,2,B-,8.4,7.77
213,Student 7,Semester 2,HSS101*,Technology and Society,4,B,6.0,6.47
214,Student 7,Semester 6,MTH101,Linear Algebra and Advanced Calculus,4,B,7.6,7.65
215,Student 7,Semester 6,CSE546,Applied Cryptography,4,C,7.6,7.65
216,Student 7,Summer Term 1,CSE122*,Theory of Computation,4,C,6.0,6.94
217,Student 7,Semester 7,ENT401,Entrepreneurship as a Career,2,A-,8.4,7.77
218,Student 7,Semester 2,CSE112,Computer Organisation,4,B,6.0,6.47
219,Student 7,Semester 4,ESC202,Digital Communication,4,C-,6.8,7.42
220,Student 7,Semester 4,CSE232,Computer Networks,4,B-,6.8,7.42
221,Student 7,Semester 5,CSE300,Software Engineering ,4,C,8.75,7.66
222,Student 7,Semester 7,CSE499A,BTech Project,8,A,8.4,7.77
223,Student 7,Semester 3,MTH201,Probability and Statistics ,4,A-,9.0,7.65
224,Student 7,Semester 8,CSE499,BTech Project,4,A-,7.75,7.76
225,Student 7,Semester 3,ESC201,Transducer And Signal Conditioning,4,A-,9.0,7.65
226,Student 7,Semester 8,COM301,Technical Communication,4,B,7.75,7.76
227,Student 7,Semester 1,CSE121,Discrete Mathematics,4,A,7.0,7.0
228,Student 7,Semester 8,HSS205*,Introduction to Sociology,4,C-,7.75,7.76
229,Student 7,Semester 3,CSE201,Advanced Programming,4,A,9.0,7.65
230,Student 7,Semester 6,CSE342*,Pattern Recognition,4,C,7.6,7.65
231,Student 8,Semester 2,CSE122*,Theory of Computation,4,C,4.67,5.53
232,Student 8,Semester 7,PHY301,Physics,4,W,7.57,7.02
233,Student 8,Semester 3,CSE201,Advanced Programming,4,B,7.22,6.12
234,Student 8,Semester 1,CSE101,Introduction to Programming,4,C,6.5,6.5
235,Student 8,Semester 5,CSE300,Software Engineering ,4,B,8.8,6.85
236,Student 8,Semester 5,CSE345,Foundations of Computer Security,4,B-,8.8,6.85
237,Student 8,Semester 1,COM101,Communication Skills,4,B,6.5,6.5
238,Student 8,Semester 3,COM201-1,Critical Reading,2,B-,7.22,6.12
239,Student 8,Semester 1,CSE111,Digital Circuits,4,C,6.5,6.5
240,Student 8,Semester 5,BTY301,Introduction to Biotechnology ,4,A,8.8,6.85
241,Student 8,Semester 4,CSE232,Computer Networks,4,C,6.8,6.31
242,Student 8,Summer Term 3,MSC482,Self Growth,2,S,,
243,Student 8,Semester 5,CSE505,Information Integration and Data Analytics,4,A,8.8,6.85
244,Student 8,Semester 2,CSE102,Data Structures and Algorithms,4,D,4.67,5.53
245,Student 8,Semester 4,HSS202*,Perspectives on Knowledge,4,A-,6.8,6.31
246,Student 8,Semester 8,CSE499A,BTech Project,8,A,9.09,7.33
247,Student 8,Semester 8,HSS206*,Introduction to Film Studies,4,A-,9.09,7.33
248,Student 8,Semester 5,CSE535,Mobile Computing,4,A-,8.8,6.85
249,Student 8,Semester 8,ENV301,The Earth System: An Environmental Science Perspective,4,B-,9.09,7.33
250,Student 8,Semester 8,CSE607,Financial Data Analytics,2,A,9.09,7.33
251,Student 8,Semester 4,CSE222,Analysis and Design of Algorithms,4,C,6.8,6.31
252,Student 8,Semester 8,CSE606,Data Warehousing,4,A-,9.09,7.33
253,Student 8,Semester 1,CSE121,Discrete Mathematics,4,C,6.5,6.5
254,Student 8,Semester 2,CSE131-1*,System Management,2,C,4.67,5.53
255,Student 8,Semester 6,COM301,Technical Communication,4,B,7.5,6.94
256,Student 8,Semester 6,CSE508,Information Retrieval,4,C,7.5,6.94
257,Student 8,Semester 4,CSE202,Fundamentals of Database Systems,4,B-,6.8,6.31
258,Student 8,Semester 2,HSS101*,Technology and Society,4,D,4.67,5.53
259,Student 8,Semester 6,CSE537,Embedded Systems,4,A-,7.5,6.94
260,Student 8,Semester 2,CSE112,Computer Organisation,4,D,4.67,5.53
261,Student 8,Semester 7,CSE500,Secure Coding,4,B-,7.57,7.02
262,Student 8,Semester 4,ESC202,Digital Communication,4,C,6.8,6.31
263,Student 8,Semester 7,CSE499,BTech Project,4,B,7.57,7.02
264,Student 8,Semester 3,CSE231,Operating Systems ,4,A-,7.22,6.12
265,Student 8,Semester 6,HSS204*,Introduction to Psychology,4,B-,7.5,6.94
266,Student 8,Semester 7,CSE511,Computer Architecture,4,B,7.57,7.02
267,Student 8,Semester 7,ENT401,Entrepreneurship as a Career,2,B-,7.57,7.02
268,Student 8,Semester 3,MTH201,Probability and Statistics ,4,C,7.22,6.12
269,Student 8,Semester 3,ESC201,Transducer And Signal Conditioning,4,C,7.22,6.12
270,Student 9,Semester 6,CSE508,Information Retrieval,4,B,9.0,8.26
271,Student 9,Semester 3,MTH201,Probability and Statistics ,4,B,7.89,8.04
272,Student 9,Semester 5,CSE535,Mobile Computing,4,A-,8.33,8.1
273,Student 9,Semester 2,CSE122*,Theory of Computation,4,D,7.78,8.12
274,Student 9,Summer Term 2,MSC492,Community Work,2,S,,
275,Student 9,Semester 8,HSS207*,Human Values and Professional Ethics,4,A,10.0,8.63
276,Student 9,Semester 5,CSE540*,Image Analysis,4,A,8.33,8.1
277,Student 9,Semester 4,CSE222,Analysis and Design of Algorithms,4,B-,8.0,8.03
278,Student 9,Semester 7,CSE694C,Privacy and Security in Online Social Media,2,A,9.7,8.47
279,Student 9,Semester 3,CSE201,Advanced Programming,4,B,7.89,8.04
280,Student 9,Semester 5,CSE505,Information Integration and Data Analytics,4,A-,8.33,8.1
281,Student 9,Semester 8,ENV301,The Earth System: An Environmental Science Perspective,4,A,10.0,8.63
282,Student 9,Semester 8,CSE539,Cellular Data Networks,4,A,10.0,8.63
283,Student 9,Semester 6,CSE645,Digital and Cyber Forensic,4,A,9.0,8.26
284,Student 9,Semester 7,CSE694D,Privacy in Location Based Services ,2,A-,9.7,8.47
285,Student 9,Semester 2,CSE102,Data Structures and Algorithms,4,A,7.78,8.12
286,Student 9,Summer Term 3,MSC482,Self Growth,2,S,,
287,Student 9,Semester 7,CSE647,Mobile and Cellular Network Security,4,A-,9.7,8.47
288,Student 9,Semester 4,CSE232,Computer Networks,4,A,8.0,8.03
289,Student 9,Semester 8,CSE499,BTech Project,4,A,10.0,8.63
290,Student 9,Semester 3,CSE231,Operating Systems ,4,A-,7.89,8.04
291,Student 9,Semester 7,CSE499,BTech Project,4,A,9.7,8.47
292,Student 9,Semester 6,CSE342*,Pattern Recognition,4,B,9.0,8.26
293,Student 9,Semester 4,ESC202,Digital Communication,4,C-,8.0,8.03
294,Student 9,Semester 7,CSE398A-1,Independent Study,4,A,9.7,8.47
295,Student 9,Semester 8,HSS202*,Perspectives on Knowledge,4,A,10.0,8.63
296,Student 9,Semester 1,CSE101,Introduction to Programming,4,B,8.5,8.5
297,Student 9,Semester 5,MTH101,Linear Algebra and Advanced Calculus,4,D,8.33,8.1
298,Student 9,Semester 7,CSE500,Secure Coding,4,A,9.7,8.47
299,Student 9,Semester 2,CSE131-1*,System Management,2,A,7.78,8.12
300,Student 9,Semester 5,CSE300,Software Engineering ,4,A,8.33,8.1
301,Student 9,Semester 1,CSE121,Discrete Mathematics,4,B,8.5,8.5
302,Student 9,Semester 2,CSE112,Computer Organisation,4,C,7.78,8.12
303,Student 9,Semester 5,CSE345,Foundations of Computer Security,4,B,8.33,8.1
304,Student 9,Semester 6,CSE343,Machine Learning,4,A-,9.0,8.26
305,Student 9,Semester 1,CSE111,Digital Circuits,4,B,8.5,8.5
306,Student 9,Semester 2,HSS101*,Technology and Society,4,A,7.78,8.12
307,Student 9,Semester 6,COM301,Technical Communication,4,A,9.0,8.26
308,Student 9,Semester 3,ESC201,Transducer And Signal Conditioning,4,C,7.89,8.04
309,Student 9,Semester 3,COM201-1,Critical Reading,2,A-,7.89,8.04
310,Student 9,Semester 4,HSS201*,Research Methods,4,A,8.0,8.03
311,Student 9,Semester 1,COM101,Communication Skills,4,A,8.5,8.5
312,Student 9,Semester 4,CSE202,Fundamentals of Database Systems,4,B,8.0,8.03
313,Student 10,Semester 5,CSE345,Foundations of Computer Security,4,B,8.0,6.91
314,Student 10,Semester 2,CSE122*,Theory of Computation,4,C,6.0,6.24
315,Student 10,Semester 4,ESC202,Digital Communication,4,B,6.8,6.61
316,Student 10,Semester 4,HSS202*,Perspectives on Knowledge,4,B-,6.8,6.61
317,Student 10,Semester 6,CSE508,Information Retrieval,4,B,8.0,7.07
318,Student 10,Semester 2,HSS101*,Technology and Society,4,D,6.0,6.24
319,Student 10,Semester 8,FIN402,Valuation and Portfolio Management,4,B,7.8,7.26
320,Student 10,Semester 5,CSE540*,Image Analysis,4,B,8.0,6.91
321,Student 10,Semester 8,ENV301,The Earth System: An Environmental Science Perspective,4,C,7.8,7.26
322,Student 10,Semester 3,MTH201,Probability and Statistics ,4,B-,7.11,6.54
323,Student 10,Semester 5,CSE505,Information Integration and Data Analytics,4,A-,8.0,6.91
324,Student 10,Semester 1,CSE111,Digital Circuits,4,C,6.5,6.5
325,Student 10,Semester 4,CSE222,Analysis and Design of Algorithms,4,B-,6.8,6.61
326,Student 10,Semester 5,MTH101,Linear Algebra and Advanced Calculus,4,B-,8.0,6.91
327,Student 10,Semester 3,COM201-1,Critical Reading,2,B,7.11,6.54
328,Student 10,Semester 1,CSE101,Introduction to Programming,4,C,6.5,6.5
329,Student 10,Semester 3,CSE201,Advanced Programming,4,C,7.11,6.54
330,Student 10,Summer Term 3,MSC492,Community Work,2,S,,
331,Student 10,Semester 7,CSE694C,Privacy and Security in Online Social Media,2,B,7.5,7.13
332,Student 10,Semester 7,FIN401,Foundations of Finance ,4,A,7.5,7.13
333,Student 10,Semester 7,ENT401,Entrepreneurship as a Career,2,C,7.5,7.13
334,Student 10,Semester 3,ESC201,Transducer And Signal Conditioning,4,B-,7.11,6.54
335,Student 10,Semester 6,CSE342*,Pattern Recognition,4,W,8.0,7.07
336,Student 10,Semester 2,CSE131-1*,System Management,2,C,6.0,6.24
337,Student 10,Semester 2,CSE102,Data Structures and Algorithms,4,C,6.0,6.24
338,Student 10,Semester 7,CSE500,Secure Coding,4,B-,7.5,7.13
339,Student 10,Semester 6,CSE546,Applied Cryptography,4,B-,8.0,7.07
340,Student 10,Summer Term 3,MSC482,Self Growth,2,S,,
341,Student 10,Semester 6,COM301,Technical Communication,4,A-,8.0,7.07
342,Student 10,Semester 8,CSE606,Data Warehousing,4,B-,7.8,7.26
343,Student 10,Semester 6,HSS204*,Introduction to Psychology,4,B,8.0,7.07
344,Student 10,Semester 3,CSE231,Operating Systems ,4,B,7.11,6.54
345,Student 10,Semester 8,CSE399,Independent Project,4,A,7.8,7.26
346,Student 10,Semester 5,CSE300,Software Engineering ,4,B,8.0,6.91
347,Student 10,Semester 4,CSE202,Fundamentals of Database Systems,4,B-,6.8,6.61
348,Student 10,Semester 8,CSE499,BTech Project,4,B,7.8,7.26
349,Student 10,Semester 1,CSE121,Discrete Mathematics,4,C,6.5,6.5
