210	[8, 4, 6]
211	[4]
212	[8, 6]
213	[3]
214	[6]
215	[5, 7]
216	[8, 6]
217	[5, 7]
218	[8, 5, 7]
219	[8, 4, 6]
220	[3, 4]
221	[8, 4]
222	[2, 3, 4, 5]
223	[8, 4, 6]
224	[8]
225	[7]
226	[7]
227	[8]
228	[8, 4, 6, 7]
229	[8, 4, 5, 6, 7]
230	[8, 3, 5, 6, 7]
231	[2, 3, 4, 6]
232	[8, 6]
233	[8]
234	[8, 6]
235	[8, 6]
236	[8, 6]
237	[3]
238	[5, 7]
239	[8, 4, 6, 7]
240	[3, 5]
241	[4]
242	[8, 6]
243	[2, 3, 4]
244	[5, 7]
245	[8, 4, 5]
246	[5, 7]
247	[5, 7]
248	[7]
249	[8, 6]
250	[8, 3]
251	[8, 6]
252	[5, 7]
253	[5, 7]
254	[5, 7]
255	[5, 7]
256	[6]
257	[5, 7]
258	[5, 7]
259	[4, 5]
260	[4, 5]
261	[8, 6]
262	[8]
263	[3]
264	[8, 7]
265	[8]
266	[7]
267	[7]
268	[8]
269	[7]
270	[7]
271	[8]
272	[8]
273	[7]
274	[3]
275	[7]
276	[8]
277	[3]
278	[8]
279	[7]
280	[8]
281	[8]
282	[8]
283	[8]
284	[8]
285	[8]
286	[7]
287	[8]
288	[8]
289	[7]
290	[8]
291	[8, 6]
292	[8]
293	[8]
294	[7]
295	[8]
296	[7]
297	[7]
298	[8]
299	[8]
300	[8]
301	[7]
302	[8]
303	[7]
304	[8]
305	[6]
